Attendance_ID,Student_ID,Course_ID,Attendance_Date,Status
50086,1257,3041,2026-03-13,Present
50087,1164,3025,2026-05-01,Present
50088,1323,3062,2026-06-02,Absent
50089,1068,3049,2026-04-02,Present
50090,1492,3073,2026-04-06,Present
50091,1477,3039,2026-04-13,Present
50092,1438,3076,2026-04-17,Present
50093,1153,3090,2026-04-17,Present
50094,1254,3017,2026-04-30,Absent
50095,1259,3063,2026-01-20,Present
50096,1023,3005,2026-03-16,Absent
50097,1400,3050,2026-05-05,Present
50098,1116,3062,2026-06-10,Present
50099,1210,3056,2026-01-26,Absent
50100,1424,3024,2026-01-14,Absent
50101,1396,3052,2026-07-05,Absent
50102,1120,3072,2026-01-14,Present
50103,1386,3040,2026-04-20,Present
50104,1391,3010,2026-01-11,Present
50105,1177,3058,2026-03-19,Present
50106,1239,3066,2026-05-13,Present
50107,1144,3055,2026-06-15,Present
50108,1112,3024,2026-02-21,Present
50109,1153,3084,2026-04-15,Present
50110,1246,3012,2026-05-18,Present
50111,1029,3062,2026-02-04,Present
50112,1381,3078,2026-01-17,Present
50113,1428,3019,2026-03-27,Present
50114,1265,3014,2026-04-26,Present
50115,1393,3015,2026-05-23,Absent
50116,1176,3038,2026-02-28,Present
50117,1287,3028,2026-04-16,Present
50118,1421,3071,2026-05-17,Present
50119,1475,3018,2026-02-17,Present
50120,1496,3010,2026-03-17,Present
50121,1430,3064,2026-05-01,Present
50122,1433,3082,2026-01-20,Present
50123,1423,3025,2026-02-14,Present
50124,1128,3006,2026-07-04,Present
50125,1411,3013,2026-02-23,Present
50126,1438,3014,2026-03-14,Present
50127,1410,3001,2026-06-12,Present
50128,1311,3096,2026-04-12,Present
50129,1293,3039,2026-05-25,Present
50130,1315,3036,2026-04-27,Absent
50131,1485,3069,2026-05-25,Present
50132,1159,3053,2026-02-18,Present
50133,1315,3053,2026-03-28,Present
50134,1100,3048,2026-05-13,Present
50135,1172,3098,2026-03-29,Present
50136,1363,3047,2026-01-29,Present
50137,1086,3040,2026-03-16,Present
50138,1448,3085,2026-05-08,Present
50139,1060,3023,2026-06-04,Present
50140,1300,3045,2026-03-20,Present
50141,1136,3024,2026-02-13,Absent
50142,1185,3050,2026-03-15,Present
50143,1291,3097,2026-06-03,Present
50144,1086,3048,2026-02-03,Present
50145,1121,3085,2026-03-07,Present
50146,1304,3013,2026-03-08,Present
50147,1380,3015,2026-06-05,Absent
50148,1287,3045,2026-03-12,Present
50149,1377,3037,2026-04-01,Present
50150,1380,3087,2026-03-30,Present
50151,1179,3062,2026-07-05,Present
50152,1330,3021,2026-02-07,Absent
50153,1188,3018,2026-03-04,Present
50154,1012,3025,2026-04-04,Present
50155,1454,3064,2026-04-14,Present
50156,1320,3094,2026-04-02,Present
50157,1354,3099,2026-02-04,Absent
50158,1191,3026,2026-05-04,Present
50159,1218,3082,2026-03-07,Present
50160,1210,3021,2026-05-22,Present
50161,1452,3020,2026-03-06,Present
50162,1275,3062,2026-01-25,Present
50163,1030,3033,2026-04-23,Present
50164,1475,3099,2026-04-01,Present
50165,1274,3039,2026-04-04,Present
50166,1122,3041,2026-02-16,Present
50167,1056,3014,2026-02-02,Present
50168,1259,3072,2026-06-05,Present
50169,1303,3045,2026-05-21,Present
50170,1132,3037,2026-05-28,Present
50171,1215,3022,2026-03-25,Present
50172,1286,3029,2026-06-06,Present
50173,1427,3099,2026-03-16,Absent
50174,1309,3004,2026-05-14,Present
50175,1272,3028,2026-01-15,Present
50176,1213,3098,2026-02-10,Present
50177,1114,3058,2026-04-04,Present
50178,1440,3006,2026-03-25,Absent
50179,1181,3016,2026-02-03,Present
50180,1142,3035,2026-06-04,Present
50181,1087,3033,2026-02-12,Present
50182,1123,3083,2026-06-03,Absent
50183,1411,3028,2026-05-25,Present
50184,1487,3034,2026-03-24,Present
50185,1053,3065,2026-01-09,Present
50186,1452,3091,2026-01-20,Present
50187,1126,3025,2026-01-20,Present
50188,1373,3087,2026-05-10,Absent
50189,1385,3054,2026-04-25,Present
50190,1347,3086,2026-05-15,Absent
50191,1221,3017,2026-05-29,Absent
50192,1131,3025,2026-03-20,Present
50193,1471,3058,2026-06-25,Present
50194,1077,3076,2026-03-30,Present
50195,1466,3012,2026-05-22,Present
50196,1122,3026,2026-02-12,Present
50197,1063,3012,2026-04-01,Present
50198,1300,3035,2026-03-19,Present
50199,1423,3014,2026-01-20,Present
50200,1127,3053,2026-03-09,Present
50201,1415,3067,2026-03-15,Present
50202,1124,3066,2026-05-26,Present
50203,1300,3091,2026-04-18,Present
50204,1357,3006,2026-02-02,Present
50205,1468,3002,2026-04-10,Present
50206,1288,3088,2026-04-25,Present
50207,1139,3013,2026-03-26,Present
50208,1333,3080,2026-06-13,Present
50209,1160,3042,2026-03-25,Present
50210,1297,3007,2026-03-15,Present
50211,1374,3006,2026-04-14,Present
50212,1155,3050,2026-03-15,Present
50213,1372,3070,2026-06-28,Present
50214,1367,3072,2026-06-05,Present
50215,1066,3073,2026-03-24,Absent
50216,1004,3069,2026-05-19,Present
50217,1229,3053,2026-01-20,Present
50218,1068,3065,2026-07-06,Present
50219,1067,3044,2026-06-29,Present
50220,1494,3032,2026-01-25,Absent
50221,1122,3034,2026-05-10,Present
50222,1479,3076,2026-03-12,Present
50223,1463,3038,2026-02-27,Absent
50224,1273,3039,2026-06-06,Present
50225,1406,3034,2026-02-06,Present
50226,1299,3007,2026-02-06,Present
50227,1305,3047,2026-03-23,Present
50228,1284,3044,2026-05-15,Present
50229,1428,3057,2026-04-15,Present
50230,1166,3085,2026-03-13,Present
50231,1063,3015,2026-01-28,Present
50232,1047,3095,2026-02-07,Present
50233,1276,3035,2026-06-09,Present
50234,1250,3045,2026-02-09,Present
50235,1032,3026,2026-05-16,Present
50236,1114,3019,2026-04-02,Absent
50237,1220,3075,2026-06-30,Present
50238,1116,3100,2026-04-13,Present
50239,1161,3059,2026-05-08,Present
50240,1087,3034,2026-04-09,Present
50241,1406,3084,2026-01-28,Present
50242,1317,3014,2026-02-20,Present
50243,1270,3018,2026-06-09,Absent
50244,1417,3063,2026-04-22,Present
50245,1202,3093,2026-02-09,Present
50246,1429,3067,2026-06-25,Absent
50247,1410,3091,2026-05-24,Present
50248,1089,3083,2026-06-17,Present
50249,1200,3081,2026-05-04,Present
50250,1096,3095,2026-05-16,Present
50251,1317,3056,2026-04-21,Present
50252,1211,3035,2026-07-04,Present
50253,1144,3049,2026-05-23,Absent
50254,1111,3055,2026-06-16,Present
50255,1278,3070,2026-01-17,Present
50256,1302,3063,2026-04-12,Present
50257,1174,3079,2026-06-25,Absent
50258,1148,3065,2026-05-02,Present
50259,1360,3096,2026-05-11,Present
50260,1094,3033,2026-03-01,Present
50261,1030,3068,2026-01-13,Present
50262,1220,3013,2026-06-15,Present
50263,1255,3048,2026-06-19,Present
50264,1060,3074,2026-06-15,Present
50265,1302,3029,2026-03-10,Present
50266,1145,3009,2026-03-28,Present
50267,1048,3013,2026-03-23,Present
50268,1249,3085,2026-01-10,Present
50269,1134,3095,2026-03-25,Absent
50270,1133,3033,2026-03-31,Absent
50271,1039,3034,2026-05-28,Present
50272,1161,3035,2026-03-20,Present
50273,1333,3061,2026-05-15,Present
50274,1013,3070,2026-03-23,Present
50275,1412,3036,2026-05-11,Present
50276,1389,3063,2026-04-18,Present
50277,1349,3035,2026-03-13,Present
50278,1044,3023,2026-06-19,Present
50279,1411,3079,2026-03-08,Absent
50280,1137,3024,2026-05-07,Absent
50281,1426,3086,2026-05-10,Present
50282,1390,3031,2026-01-10,Present
50283,1027,3036,2026-02-25,Present
50284,1203,3066,2026-04-01,Present
50285,1011,3077,2026-03-04,Present
50286,1007,3090,2026-05-13,Present
50287,1112,3098,2026-02-08,Present
50288,1328,3001,2026-06-25,Present
50289,1436,3026,2026-05-03,Present
50290,1188,3007,2026-01-18,Present
50291,1245,3086,2026-02-25,Present
50292,1235,3091,2026-04-03,Absent
50293,1379,3060,2026-03-21,Present
50294,1416,3068,2026-01-22,Present
50295,1365,3099,2026-02-20,Present
50296,1204,3008,2026-06-27,Present
50297,1235,3022,2026-02-11,Present
50298,1429,3075,2026-03-12,Present
50299,1342,3037,2026-03-29,Present
50300,1331,3050,2026-04-10,Present
50301,1221,3029,2026-06-13,Present
50302,1330,3021,2026-04-15,Present
50303,1060,3057,2026-02-07,Absent
50304,1451,3078,2026-04-21,Present
50305,1024,3046,2026-06-07,Absent
50306,1036,3010,2026-03-17,Present
50307,1137,3039,2026-02-18,Absent
50308,1003,3078,2026-02-03,Present
50309,1220,3006,2026-04-18,Present
50310,1388,3052,2026-05-19,Absent
50311,1340,3032,2026-03-23,Present
50312,1144,3022,2026-07-06,Present
50313,1192,3050,2026-03-01,Present
50314,1285,3023,2026-03-30,Present
50315,1204,3053,2026-02-18,Present
50316,1397,3063,2026-01-09,Present
50317,1245,3006,2026-04-06,Absent
50318,1342,3001,2026-05-31,Present
50319,1226,3017,2026-06-03,Present
50320,1138,3066,2026-03-10,Absent
50321,1365,3082,2026-03-09,Present
50322,1466,3080,2026-06-20,Absent
50323,1015,3100,2026-02-21,Present
50324,1463,3025,2026-04-19,Present
50325,1345,3078,2026-06-02,Present
50326,1136,3098,2026-06-19,Present
50327,1169,3027,2026-06-19,Absent
50328,1213,3013,2026-06-20,Present
50329,1174,3072,2026-03-04,Absent
50330,1369,3083,2026-06-23,Present
50331,1033,3017,2026-05-29,Absent
50332,1088,3052,2026-06-21,Present
50333,1170,3040,2026-05-26,Present
50334,1283,3047,2026-06-19,Present
50335,1213,3064,2026-02-21,Present
50336,1483,3045,2026-06-08,Present
50337,1172,3059,2026-05-20,Absent
50338,1447,3029,2026-07-05,Present
50339,1043,3018,2026-04-04,Present
50340,1371,3043,2026-01-13,Present
50341,1474,3051,2026-02-27,Present
50342,1351,3024,2026-03-02,Absent
50343,1176,3098,2026-06-28,Present
50344,1452,3002,2026-01-15,Present
50345,1073,3023,2026-03-27,Present
50346,1414,3096,2026-04-21,Present
50347,1401,3067,2026-03-28,Present
50348,1339,3087,2026-03-13,Present
50349,1075,3056,2026-01-15,Present
50350,1134,3008,2026-01-17,Present
50351,1205,3083,2026-05-18,Present
50352,1172,3016,2026-02-12,Absent
50353,1209,3070,2026-03-19,Present
50354,1172,3025,2026-05-11,Present
50355,1032,3010,2026-02-26,Present
50356,1388,3044,2026-01-14,Present
50357,1193,3051,2026-03-20,Present
50358,1004,3053,2026-01-13,Present
50359,1069,3010,2026-05-06,Present
50360,1131,3039,2026-02-02,Present
50361,1377,3079,2026-01-14,Present
50362,1228,3041,2026-05-20,Present
50363,1211,3033,2026-01-20,Present
50364,1494,3074,2026-04-14,Present
50365,1302,3007,2026-04-11,Present
50366,1278,3096,2026-03-25,Present
50367,1246,3056,2026-03-26,Absent
50368,1445,3044,2026-02-19,Present
50369,1214,3013,2026-01-17,Present
50370,1419,3046,2026-05-31,Present
50371,1359,3041,2026-05-09,Present
50372,1283,3092,2026-04-17,Present
50373,1067,3016,2026-03-05,Present
50374,1422,3050,2026-05-21,Present
50375,1408,3012,2026-05-15,Absent
50376,1220,3065,2026-06-23,Present
50377,1254,3093,2026-05-15,Present
50378,1077,3029,2026-04-28,Present
50379,1002,3002,2026-01-26,Absent
50380,1366,3068,2026-01-26,Present
50381,1377,3037,2026-02-15,Present
50382,1479,3084,2026-04-26,Present
50383,1160,3093,2026-05-24,Present
50384,1492,3086,2026-02-08,Present
50385,1114,3077,2026-03-28,Present
50386,1172,3010,2026-05-21,Present
50387,1137,3061,2026-04-21,Present
50388,1210,3007,2026-05-13,Present
50389,1381,3005,2026-04-08,Present
50390,1048,3091,2026-05-06,Present
50391,1324,3015,2026-04-08,Present
50392,1163,3025,2026-03-13,Present
50393,1074,3074,2026-05-28,Present
50394,1158,3065,2026-06-06,Present
50395,1223,3004,2026-04-30,Present
50396,1451,3036,2026-06-21,Present
50397,1246,3053,2026-03-20,Present
50398,1195,3053,2026-05-06,Present
50399,1088,3080,2026-07-02,Absent
50400,1459,3030,2026-05-08,Present
50401,1488,3034,2026-03-29,Present
50402,1169,3072,2026-05-17,Present
50403,1399,3092,2026-01-26,Present
50404,1203,3082,2026-06-15,Present
50405,1449,3029,2026-07-03,Present
50406,1415,3011,2026-06-18,Present
50407,1362,3028,2026-03-17,Present
50408,1359,3037,2026-04-17,Present
50409,1458,3020,2026-06-21,Absent
50410,1200,3011,2026-04-27,Present
50411,1299,3025,2026-06-25,Present
50412,1438,3100,2026-02-20,Present
50413,1285,3099,2026-01-28,Present
50414,1460,3009,2026-01-09,Present
50415,1254,3070,2026-02-12,Present
50416,1311,3085,2026-04-05,Present
50417,1045,3048,2026-02-25,Absent
50418,1397,3080,2026-02-14,Present
50419,1138,3018,2026-03-28,Present
50420,1409,3064,2026-06-01,Present
50421,1161,3042,2026-06-16,Present
50422,1331,3021,2026-05-25,Present
50423,1121,3086,2026-03-05,Present
50424,1339,3029,2026-04-13,Present
50425,1025,3100,2026-02-07,Present
50426,1046,3065,2026-03-31,Present
50427,1215,3100,2026-04-02,Present
50428,1103,3013,2026-04-06,Present
50429,1073,3030,2026-03-29,Present
50430,1197,3035,2026-05-22,Present
50431,1324,3044,2026-02-21,Absent
50432,1452,3059,2026-05-13,Present
50433,1093,3093,2026-03-07,Absent
50434,1058,3045,2026-06-16,Present
50435,1084,3053,2026-06-24,Present
50436,1202,3076,2026-05-23,Present
50437,1218,3051,2026-03-02,Present
50438,1338,3023,2026-02-13,Present
50439,1399,3062,2026-02-05,Present
50440,1373,3051,2026-02-25,Present
50441,1242,3078,2026-01-15,Present
50442,1077,3048,2026-06-02,Present
50443,1457,3047,2026-02-07,Present
50444,1486,3052,2026-03-24,Present
50445,1148,3064,2026-06-24,Absent
50446,1492,3089,2026-02-27,Present
50447,1225,3056,2026-06-19,Absent
50448,1230,3034,2026-01-13,Present
50449,1472,3047,2026-04-23,Present
50450,1474,3002,2026-03-22,Present
50451,1325,3063,2026-05-22,Present
50452,1109,3034,2026-04-17,Present
50453,1042,3060,2026-04-27,Present
50454,1052,3020,2026-04-04,Present
50455,1436,3031,2026-06-14,Absent
50456,1453,3011,2026-03-18,Present
50457,1208,3071,2026-03-25,Present
50458,1037,3014,2026-05-18,Present
50459,1440,3017,2026-03-11,Present
50460,1457,3008,2026-06-13,Present
50461,1319,3084,2026-02-24,Present
50462,1059,3010,2026-04-28,Present
50463,1247,3060,2026-05-20,Absent
50464,1088,3012,2026-06-29,Present
50465,1478,3073,2026-06-02,Present
50466,1053,3079,2026-01-31,Present
50467,1098,3059,2026-06-26,Present
50468,1311,3070,2026-02-16,Present
50469,1027,3013,2026-04-16,Present
50470,1309,3041,2026-02-12,Present
50471,1087,3025,2026-05-18,Present
50472,1035,3059,2026-06-28,Present
50473,1112,3083,2026-03-17,Present
50474,1097,3091,2026-01-25,Absent
50475,1079,3024,2026-02-10,Absent
50476,1066,3029,2026-03-16,Present
50477,1033,3003,2026-01-25,Present
50478,1249,3087,2026-02-14,Absent
50479,1118,3027,2026-05-14,Present
50480,1316,3029,2026-05-01,Present
50481,1037,3045,2026-01-13,Present
50482,1154,3091,2026-04-05,Present
50483,1146,3012,2026-03-12,Present
50484,1434,3079,2026-03-27,Present
50485,1473,3006,2026-01-31,Present
50486,1409,3079,2026-04-12,Present
50487,1245,3065,2026-05-19,Absent
50488,1255,3076,2026-02-16,Present
50489,1228,3008,2026-03-23,Present
50490,1333,3075,2026-04-30,Present
50491,1345,3001,2026-05-27,Present
50492,1209,3037,2026-01-16,Present
50493,1089,3021,2026-01-23,Present
50494,1413,3041,2026-07-06,Present
50495,1180,3051,2026-03-21,Present
50496,1024,3005,2026-05-26,Present
50497,1237,3064,2026-03-16,Present
50498,1033,3005,2026-05-04,Present
50499,1134,3001,2026-02-12,Present
50500,1004,3056,2026-01-29,Present
50501,1356,3053,2026-03-24,Absent
50502,1001,3087,2026-04-08,Present
50503,1419,3004,2026-05-31,Present
50504,1360,3030,2026-06-01,Present
50505,1049,3061,2026-06-09,Present
50506,1415,3008,2026-04-22,Present
50507,1128,3070,2026-05-09,Present
50508,1052,3087,2026-03-05,Present
50509,1108,3004,2026-05-03,Present
50510,1418,3069,2026-01-26,Absent
50511,1420,3023,2026-03-04,Present
50512,1323,3034,2026-04-14,Present
50513,1176,3051,2026-03-31,Present
50514,1454,3014,2026-04-19,Present
50515,1412,3025,2026-02-14,Present
50516,1483,3067,2026-02-07,Present
50517,1432,3064,2026-04-08,Absent
50518,1322,3010,2026-07-01,Present
50519,1437,3007,2026-01-23,Present
50520,1275,3071,2026-01-27,Absent
50521,1487,3045,2026-05-25,Present
50522,1100,3059,2026-05-25,Present
50523,1192,3059,2026-06-07,Present
50524,1460,3004,2026-05-26,Present
50525,1178,3045,2026-02-25,Present
50526,1117,3021,2026-06-04,Present
50527,1101,3031,2026-02-02,Absent
50528,1470,3042,2026-05-10,Present
50529,1261,3048,2026-01-11,Present
50530,1320,3090,2026-04-07,Present
50531,1385,3084,2026-04-13,Present
50532,1332,3057,2026-05-21,Present
50533,1309,3022,2026-04-26,Present
50534,1003,3072,2026-03-04,Present
50535,1056,3009,2026-05-26,Present
50536,1184,3063,2026-06-14,Present
50537,1453,3037,2026-06-22,Present
50538,1393,3040,2026-01-31,Present
50539,1431,3017,2026-03-13,Present
50540,1420,3084,2026-03-09,Present
50541,1388,3057,2026-06-23,Present
50542,1140,3059,2026-03-28,Present
50543,1102,3007,2026-02-12,Absent
50544,1248,3028,2026-01-19,Present
50545,1361,3001,2026-03-29,Present
50546,1263,3021,2026-07-02,Present
50547,1267,3032,2026-04-08,Present
50548,1361,3002,2026-06-28,Absent
50549,1190,3082,2026-03-14,Present
50550,1054,3082,2026-04-06,Present
50551,1246,3026,2026-05-24,Present
50552,1139,3038,2026-01-12,Absent
50553,1443,3058,2026-06-22,Absent
50554,1306,3015,2026-03-01,Present
50555,1116,3045,2026-03-14,Present
50556,1470,3080,2026-02-26,Present
50557,1365,3023,2026-04-26,Present
50558,1111,3038,2026-05-13,Present
50559,1060,3033,2026-02-06,Present
50560,1479,3063,2026-06-12,Present
50561,1464,3090,2026-07-05,Present
50562,1157,3031,2026-06-29,Present
50563,1073,3016,2026-05-07,Present
50564,1098,3040,2026-05-16,Present
50565,1047,3072,2026-02-11,Present
50566,1367,3083,2026-03-07,Present
50567,1449,3062,2026-05-24,Present
50568,1189,3012,2026-05-13,Present
50569,1092,3078,2026-05-24,Present
50570,1158,3058,2026-04-04,Present
50571,1030,3096,2026-03-29,Present
50572,1121,3066,2026-02-19,Present
50573,1138,3005,2026-06-29,Present
50574,1024,3042,2026-05-18,Present
50575,1481,3075,2026-03-31,Present
50576,1063,3082,2026-05-27,Present
50577,1409,3011,2026-04-01,Present
50578,1352,3088,2026-03-06,Present
50579,1304,3041,2026-04-06,Present
50580,1107,3074,2026-05-17,Present
50581,1045,3072,2026-05-19,Absent
50582,1499,3022,2026-01-10,Present
50583,1271,3098,2026-04-26,Present
50584,1409,3091,2026-03-16,Present
50585,1388,3096,2026-02-17,Present
50586,1139,3001,2026-02-10,Present
50587,1246,3008,2026-01-21,Present
50588,1374,3044,2026-06-12,Present
50589,1260,3050,2026-06-29,Present
50590,1452,3092,2026-03-21,Present
50591,1040,3033,2026-03-10,Present
50592,1335,3061,2026-06-02,Present
50593,1231,3058,2026-02-04,Present
50594,1099,3048,2026-04-18,Present
50595,1398,3057,2026-05-16,Present
50596,1045,3100,2026-03-10,Present
50597,1083,3011,2026-04-24,Present
50598,1061,3018,2026-02-17,Present
50599,1398,3095,2026-04-04,Present
50600,1230,3071,2026-06-30,Absent
50601,1037,3071,2026-03-01,Present
50602,1452,3049,2026-05-24,Present
50603,1099,3072,2026-05-01,Present
50604,1020,3034,2026-02-09,Present
50605,1459,3095,2026-01-09,Present
50606,1125,3001,2026-06-02,Present
50607,1468,3098,2026-04-13,Present
50608,1168,3022,2026-05-25,Absent
50609,1167,3012,2026-02-15,Present
50610,1227,3091,2026-02-16,Present
50611,1085,3044,2026-04-06,Present
50612,1204,3060,2026-04-26,Present
50613,1151,3066,2026-06-13,Present
50614,1136,3039,2026-06-29,Present
50615,1377,3039,2026-03-18,Present
50616,1438,3085,2026-03-29,Present
50617,1368,3087,2026-01-21,Present
50618,1478,3048,2026-06-09,Present
50619,1083,3052,2026-05-05,Present
50620,1475,3084,2026-03-18,Present
50621,1380,3070,2026-03-16,Present
50622,1301,3033,2026-03-04,Present
50623,1213,3059,2026-02-08,Present
50624,1327,3060,2026-06-05,Present
50625,1050,3042,2026-06-29,Present
50626,1374,3005,2026-04-22,Present
50627,1285,3037,2026-01-12,Absent
50628,1232,3030,2026-03-31,Present
50629,1093,3028,2026-02-04,Present
50630,1061,3094,2026-06-18,Present
50631,1412,3008,2026-03-11,Present
50632,1430,3086,2026-05-12,Present
50633,1164,3088,2026-01-21,Present
50634,1055,3021,2026-06-19,Present
50635,1232,3092,2026-06-24,Present
50636,1038,3076,2026-03-19,Present
50637,1461,3011,2026-05-14,Present
50638,1345,3013,2026-02-19,Present
50639,1217,3060,2026-01-27,Present
50640,1424,3074,2026-04-11,Present
50641,1267,3017,2026-01-31,Present
50642,1145,3007,2026-02-04,Present
50643,1390,3066,2026-05-17,Present
50644,1374,3033,2026-05-23,Present
50645,1264,3012,2026-02-18,Present
50646,1160,3093,2026-02-13,Present
50647,1127,3067,2026-03-05,Present
50648,1190,3079,2026-04-26,Present
50649,1439,3047,2026-06-16,Present
50650,1327,3033,2026-05-08,Present
50651,1138,3089,2026-03-29,Present
50652,1113,3007,2026-05-08,Present
50653,1410,3024,2026-05-16,Present
50654,1309,3039,2026-03-21,Absent
50655,1040,3100,2026-01-15,Present
50656,1450,3023,2026-04-23,Absent
50657,1428,3066,2026-06-12,Present
50658,1062,3001,2026-06-01,Present
50659,1010,3058,2026-06-21,Present
50660,1035,3094,2026-06-03,Present
50661,1390,3038,2026-02-26,Present
50662,1369,3023,2026-04-03,Present
50663,1290,3034,2026-06-28,Present
50664,1110,3078,2026-04-01,Present
50665,1097,3091,2026-02-04,Present
50666,1226,3056,2026-06-05,Present
50667,1098,3033,2026-03-15,Present
50668,1305,3044,2026-05-10,Present
50669,1187,3082,2026-07-02,Present
50670,1193,3049,2026-06-21,Present
50671,1492,3001,2026-03-08,Present
50672,1002,3014,2026-02-24,Present
50673,1170,3053,2026-06-22,Present
50674,1109,3080,2026-07-07,Present
50675,1015,3054,2026-05-07,Present
50676,1275,3057,2026-04-11,Present
50677,1462,3042,2026-02-18,Present
50678,1116,3046,2026-02-18,Present
50679,1087,3047,2026-05-08,Present
50680,1430,3062,2026-07-06,Present
50681,1090,3035,2026-05-01,Present
50682,1242,3083,2026-04-09,Absent
50683,1281,3094,2026-04-12,Present
50684,1319,3024,2026-05-22,Present
50685,1141,3073,2026-02-02,Present
50686,1329,3039,2026-03-10,Present
50687,1019,3020,2026-04-16,Present
50688,1122,3065,2026-01-31,Present
50689,1077,3004,2026-02-20,Present
50690,1147,3045,2026-06-12,Present
50691,1030,3086,2026-02-22,Present
50692,1284,3052,2026-06-21,Present
50693,1029,3096,2026-03-27,Present
50694,1120,3055,2026-03-22,Present
50695,1050,3058,2026-04-16,Present
50696,1197,3017,2026-02-04,Present
50697,1491,3052,2026-02-12,Present
50698,1340,3019,2026-05-23,Absent
50699,1316,3028,2026-06-18,Absent
50700,1458,3078,2026-03-23,Present
50701,1478,3025,2026-01-20,Present
50702,1243,3025,2026-02-26,Present
50703,1438,3050,2026-03-14,Present
50704,1465,3100,2026-01-11,Present
50705,1208,3031,2026-01-25,Present
50706,1414,3030,2026-06-11,Present
50707,1187,3062,2026-06-12,Present
50708,1044,3018,2026-03-06,Absent
50709,1316,3050,2026-01-15,Absent
50710,1141,3045,2026-02-18,Present
50711,1497,3037,2026-01-25,Present
50712,1446,3009,2026-01-27,Present
50713,1418,3091,2026-04-07,Present
50714,1392,3039,2026-01-25,Present
50715,1480,3040,2026-03-08,Present
50716,1051,3001,2026-03-10,Present
50717,1071,3090,2026-03-11,Present
50718,1350,3075,2026-02-13,Present
50719,1247,3060,2026-03-16,Present
50720,1409,3013,2026-03-06,Present
50721,1336,3061,2026-04-05,Present
50722,1469,3022,2026-06-26,Present
50723,1230,3056,2026-02-20,Present
50724,1423,3087,2026-01-27,Present
50725,1417,3049,2026-06-07,Absent
50726,1340,3039,2026-05-05,Present
50727,1257,3100,2026-03-31,Present
50728,1375,3097,2026-07-06,Present
