Issue_ID,Student_ID,Book_Name,Issue_Date,Return_Date,Fine
9094,1238,Operating Systems,2025-12-15,2025-12-22,0
9095,1445,Thermodynamics,2026-06-23,2026-07-01,0
9096,1118,Operating Systems,2025-12-23,2026-01-17,0
9097,1105,Software Engineering,2025-10-26,2025-11-07,0
9098,1294,Digital Electronics,2025-09-01,2025-09-07,10
9099,1081,Digital Electronics,2025-09-08,2025-09-16,10
9100,1166,Fluid Mechanics,2026-04-27,2026-05-22,0
9101,1324,Fluid Mechanics,2025-11-11,2025-12-09,0
9102,1199,Data Structures,2026-06-17,2026-07-07,0
9103,1207,Cloud Computing,2025-12-21,2026-01-18,0
9104,1419,Marketing Management,2026-01-30,2026-02-27,0
9105,1272,Financial Accounting,2025-11-06,2025-11-17,0
9106,1445,Cyber Security,2026-02-23,2026-03-04,0
9107,1195,Engineering Mathematics,2025-10-05,2025-10-23,20
9108,1357,Python Programming,2025-07-14,2025-07-31,0
9109,1328,Electrical Machines,2025-08-13,2025-08-27,0
9110,1029,Business Analytics,2026-06-29,2026-07-10,0
9111,1093,Financial Accounting,2025-07-14,2025-08-05,0
9112,1312,Engineering Mathematics,2026-03-11,2026-03-23,100
9113,1408,Thermodynamics,2026-06-06,2026-07-02,0
9114,1090,Marketing Management,2025-07-11,2025-07-24,0
9115,1409,Cyber Security,2025-09-28,2025-10-11,0
9116,1414,Financial Accounting,2026-07-07,2026-08-02,0
9117,1207,Database Management Systems,2026-01-15,2026-01-21,0
9118,1497,Machine Learning,2026-02-13,2026-02-26,10
9119,1151,Software Engineering,2026-02-16,2026-02-23,0
9120,1469,Engineering Mathematics,2025-09-19,2025-10-10,0
9121,1097,Computer Networks,2026-07-04,2026-07-27,0
9122,1302,Machine Learning,2026-03-11,2026-03-30,0
9123,1269,Fluid Mechanics,2026-07-03,2026-07-26,0
9124,1201,Machine Learning,2026-02-12,2026-02-24,10
9125,1406,Software Engineering,2026-02-13,2026-03-15,0
9126,1120,Digital Electronics,2026-05-09,2026-06-06,0
9127,1336,Electrical Machines,2026-01-10,2026-01-29,100
9128,1157,Computer Networks,2026-02-16,2026-03-05,0
9129,1027,Structural Analysis,2026-05-15,2026-05-30,0
9130,1412,Cyber Security,2025-12-14,2025-12-19,0
9131,1214,Cloud Computing,2026-01-26,2026-02-22,0
9132,1473,Digital Electronics,2025-12-26,2026-01-23,0
9133,1339,Artificial Intelligence,2025-10-28,2025-11-14,0
9134,1173,Data Structures,2026-06-04,2026-07-04,20
9135,1494,Marketing Management,2025-11-17,2025-12-14,10
9136,1464,Thermodynamics,2026-01-09,2026-01-15,0
9137,1446,Operating Systems,2026-05-06,2026-05-26,0
9138,1255,Engineering Mathematics,2025-09-13,2025-10-11,0
9139,1200,Python Programming,2026-02-22,2026-03-21,20
9140,1221,Cloud Computing,2025-10-21,2025-11-12,10
9141,1103,Electrical Machines,2025-08-24,2025-08-29,0
9142,1288,Database Management Systems,2026-07-01,2026-07-21,0
9143,1101,Cloud Computing,2026-02-07,2026-02-19,10
9144,1239,Structural Analysis,2026-04-06,2026-04-14,0
9145,1025,Marketing Management,2026-01-21,2026-02-03,10
9146,1112,Engineering Mathematics,2026-06-27,2026-07-09,0
9147,1396,Marketing Management,2025-10-31,2025-11-19,0
9148,1494,Artificial Intelligence,2026-05-11,2026-06-01,0
9149,1355,Microprocessors,2025-12-07,2025-12-23,0
9150,1119,Financial Accounting,2025-11-30,2025-12-25,0
9151,1399,Machine Learning,2026-03-27,2026-04-13,0
9152,1023,Electrical Machines,2026-03-03,2026-03-16,0
9153,1226,Microprocessors,2026-05-14,2026-05-20,0
9154,1279,Business Analytics,2025-12-06,2026-01-04,20
9155,1437,Python Programming,2025-09-11,2025-09-28,0
9156,1348,Structural Analysis,2025-11-16,2025-12-15,0
9157,1163,Data Structures,2025-12-11,2025-12-26,0
9158,1038,Data Structures,2026-02-12,2026-02-22,0
9159,1479,Digital Electronics,2025-11-16,2025-12-03,10
9160,1378,Python Programming,2025-12-10,2026-01-06,0
9161,1324,Financial Accounting,2025-11-01,2025-11-09,0
9162,1344,Thermodynamics,2025-11-28,2025-12-15,0
9163,1121,Computer Networks,2026-01-07,2026-01-17,0
9164,1086,Fluid Mechanics,2025-09-17,2025-10-05,20
9165,1351,Data Structures,2025-12-28,2026-01-07,0
9166,1072,Artificial Intelligence,2025-12-28,2026-01-20,0
9167,1284,Computer Networks,2026-06-19,2026-07-17,0
9168,1452,Digital Electronics,2026-06-15,2026-06-30,0
9169,1117,Engineering Mathematics,2026-01-11,2026-02-08,0
9170,1238,Cloud Computing,2026-03-06,2026-03-17,0
9171,1397,Digital Electronics,2025-09-15,2025-09-28,0
9172,1481,Structural Analysis,2026-03-29,2026-04-17,0
9173,1172,Computer Networks,2025-09-22,2025-10-11,0
9174,1134,Database Management Systems,2026-06-30,2026-07-25,0
9175,1429,Electrical Machines,2026-04-24,2026-05-14,0
9176,1210,Marketing Management,2025-07-25,2025-08-02,0
9177,1081,Fluid Mechanics,2026-05-15,2026-06-08,100
9178,1128,Machine Learning,2025-09-02,2025-09-15,0
9179,1336,Artificial Intelligence,2025-09-15,2025-09-27,0
9180,1031,Cloud Computing,2025-10-30,2025-11-22,0
9181,1172,Cyber Security,2026-07-04,2026-07-23,0
9182,1051,Structural Analysis,2026-01-14,2026-01-25,0
9183,1047,Marketing Management,2025-08-15,2025-09-14,0
9184,1025,Financial Accounting,2025-12-06,2025-12-16,0
9185,1382,Electrical Machines,2025-11-29,2025-12-23,0
9186,1082,Engineering Mathematics,2026-01-24,2026-02-12,10
9187,1333,Data Structures,2026-05-29,2026-06-03,0
9188,1253,Digital Electronics,2026-01-29,2026-02-12,0
9189,1213,Machine Learning,2025-08-23,2025-09-21,0
9190,1280,Operating Systems,2025-07-15,2025-07-28,0
9191,1311,Microprocessors,2026-06-06,2026-06-24,0
9192,1371,Engineering Mathematics,2025-11-02,2025-11-28,0
9193,1206,Microprocessors,2025-11-30,2025-12-26,20
9194,1159,Database Management Systems,2025-11-23,2025-11-30,0
9195,1423,Microprocessors,2026-05-18,2026-06-01,0
9196,1164,Thermodynamics,2025-09-07,2025-10-06,0
9197,1253,Electrical Machines,2025-09-17,2025-10-06,0
9198,1045,Marketing Management,2025-10-10,2025-10-31,0
9199,1395,Cloud Computing,2025-08-12,2025-08-29,0
9200,1412,Thermodynamics,2026-06-16,2026-07-05,0
9201,1033,Microprocessors,2025-10-20,2025-11-18,0
9202,1221,Thermodynamics,2026-07-06,2026-07-21,0
9203,1171,Thermodynamics,2025-09-18,2025-10-14,0
9204,1215,Database Management Systems,2025-11-29,2025-12-08,0
9205,1010,Structural Analysis,2026-01-05,2026-01-12,10
9206,1366,Fluid Mechanics,2025-07-25,2025-08-14,0
9207,1012,Microprocessors,2025-10-29,2025-11-15,0
9208,1351,Data Structures,2025-08-14,2025-09-06,0
9209,1069,Digital Electronics,2025-09-19,2025-09-29,0
9210,1197,Marketing Management,2026-03-02,2026-03-08,0
9211,1109,Engineering Mathematics,2026-04-15,2026-04-28,0
9212,1362,Structural Analysis,2026-01-08,2026-01-13,0
9213,1171,Cyber Security,2025-10-10,2025-10-17,0
9214,1338,Electrical Machines,2025-08-04,2025-08-10,0
9215,1453,Machine Learning,2026-06-30,2026-07-14,0
9216,1303,Thermodynamics,2026-01-06,2026-02-02,20
9217,1419,Thermodynamics,2025-08-14,2025-08-27,50
9218,1432,Thermodynamics,2026-01-28,2026-02-13,0
9219,1214,Digital Electronics,2026-03-10,2026-03-27,0
9220,1470,Thermodynamics,2025-10-10,2025-10-31,0
9221,1207,Operating Systems,2026-01-31,2026-02-08,10
9222,1005,Structural Analysis,2025-07-24,2025-08-22,0
9223,1453,Cloud Computing,2025-10-21,2025-11-16,10
9224,1385,Data Structures,2026-06-02,2026-06-27,10
9225,1414,Structural Analysis,2025-11-25,2025-12-06,0
9226,1481,Data Structures,2025-08-06,2025-09-03,0
9227,1489,Python Programming,2026-01-15,2026-01-28,20
9228,1049,Engineering Mathematics,2025-12-29,2026-01-18,0
9229,1431,Fluid Mechanics,2026-02-25,2026-03-23,0
9230,1135,Electrical Machines,2026-03-16,2026-04-10,0
9231,1455,Machine Learning,2025-07-14,2025-07-27,100
9232,1238,Microprocessors,2025-10-05,2025-10-31,0
9233,1218,Data Structures,2026-03-09,2026-03-26,0
9234,1035,Python Programming,2026-02-01,2026-02-13,20
9235,1183,Software Engineering,2025-11-12,2025-11-21,0
9236,1310,Fluid Mechanics,2026-04-30,2026-05-17,0
9237,1481,Cloud Computing,2025-11-26,2025-12-02,0
9238,1457,Financial Accounting,2025-11-11,2025-12-02,0
9239,1223,Cyber Security,2025-12-16,2025-12-27,0
9240,1388,Engineering Mathematics,2025-11-19,2025-12-16,0
9241,1037,Computer Networks,2026-06-01,2026-06-17,0
9242,1087,Engineering Mathematics,2025-08-11,2025-08-16,20
9243,1148,Electrical Machines,2026-05-14,2026-05-31,0
9244,1217,Python Programming,2025-12-03,2025-12-09,0
9245,1041,Business Analytics,2026-01-12,2026-02-04,0
9246,1240,Cyber Security,2025-08-29,2025-09-20,0
9247,1100,Data Structures,2026-03-03,2026-03-12,0
9248,1423,Marketing Management,2026-05-12,2026-06-11,0
9249,1068,Marketing Management,2026-05-09,2026-05-24,10
9250,1247,Python Programming,2025-09-16,2025-10-08,50
9251,1083,Software Engineering,2026-01-27,2026-02-16,10
9252,1166,Digital Electronics,2026-02-24,2026-03-26,0
9253,1379,Microprocessors,2026-04-24,2026-05-18,0
9254,1149,Business Analytics,2026-01-17,2026-01-23,0
9255,1197,Operating Systems,2026-06-26,2026-07-10,0
9256,1103,Marketing Management,2025-10-31,2025-11-22,50
9257,1281,Computer Networks,2026-01-17,2026-02-04,0
9258,1220,Artificial Intelligence,2026-04-13,2026-04-30,0
9259,1452,Digital Electronics,2026-05-18,2026-06-05,0
9260,1139,Operating Systems,2025-12-12,2025-12-20,50
9261,1037,Thermodynamics,2025-09-24,2025-10-09,0
9262,1143,Data Structures,2025-12-23,2025-12-30,0
9263,1369,Fluid Mechanics,2026-06-02,2026-06-13,20
9264,1040,Cloud Computing,2026-01-07,2026-01-21,10
9265,1152,Microprocessors,2025-09-26,2025-10-05,0
9266,1478,Financial Accounting,2026-04-04,2026-04-13,0
9267,1164,Operating Systems,2025-12-09,2026-01-06,10
9268,1142,Operating Systems,2026-01-01,2026-01-09,10
9269,1149,Fluid Mechanics,2025-10-13,2025-10-25,0
9270,1411,Computer Networks,2025-12-20,2026-01-06,0
9271,1309,Fluid Mechanics,2026-01-23,2026-02-17,0
9272,1414,Cloud Computing,2025-08-24,2025-09-22,0
9273,1145,Financial Accounting,2026-04-16,2026-05-13,0
9274,1324,Operating Systems,2025-09-09,2025-10-05,10
9275,1433,Machine Learning,2025-10-20,2025-11-07,0
9276,1483,Cyber Security,2025-09-19,2025-10-04,0
9277,1013,Artificial Intelligence,2025-10-24,2025-11-22,0
9278,1426,Microprocessors,2026-06-17,2026-06-29,10
9279,1124,Microprocessors,2026-05-20,2026-05-27,0
9280,1361,Financial Accounting,2025-12-26,2026-01-13,10
9281,1138,Computer Networks,2025-12-30,2026-01-17,0
9282,1066,Fluid Mechanics,2025-11-30,2025-12-20,100
9283,1494,Python Programming,2025-09-24,2025-10-13,0
9284,1026,Cyber Security,2026-01-04,2026-01-28,0
9285,1350,Computer Networks,2026-05-24,2026-06-16,0
9286,1178,Computer Networks,2026-01-17,2026-02-10,0
9287,1016,Marketing Management,2026-01-07,2026-01-21,0
9288,1004,Fluid Mechanics,2025-07-12,2025-07-17,0
9289,1152,Machine Learning,2025-10-08,2025-10-14,0
9290,1262,Computer Networks,2026-03-29,2026-04-08,0
9291,1099,Marketing Management,2026-04-12,2026-04-19,50
9292,1176,Thermodynamics,2025-08-11,2025-09-09,0
9293,1427,Cloud Computing,2025-10-01,2025-10-23,20
9294,1416,Engineering Mathematics,2026-05-30,2026-06-21,0
9295,1114,Financial Accounting,2026-01-18,2026-01-26,0
9296,1045,Artificial Intelligence,2025-12-19,2026-01-17,20
9297,1311,Structural Analysis,2026-01-22,2026-02-09,0
9298,1395,Engineering Mathematics,2025-08-05,2025-08-31,20
9299,1216,Software Engineering,2025-10-14,2025-11-03,0
9300,1246,Data Structures,2026-05-12,2026-06-10,0
9301,1163,Electrical Machines,2025-09-02,2025-10-01,0
9302,1375,Artificial Intelligence,2025-12-17,2026-01-16,20
9303,1462,Engineering Mathematics,2025-09-05,2025-09-28,0
9304,1350,Structural Analysis,2026-01-26,2026-02-21,100
9305,1421,Database Management Systems,2025-12-02,2025-12-16,0
9306,1247,Database Management Systems,2026-03-16,2026-03-28,50
9307,1218,Database Management Systems,2026-03-09,2026-03-20,10
9308,1390,Microprocessors,2026-05-11,2026-05-29,10
9309,1441,Cloud Computing,2026-06-10,2026-06-23,0
9310,1483,Fluid Mechanics,2025-07-29,2025-08-14,0
9311,1250,Electrical Machines,2026-06-13,2026-07-03,20
9312,1469,Microprocessors,2025-11-12,2025-12-06,0
9313,1021,Cloud Computing,2025-10-01,2025-10-11,0
9314,1128,Computer Networks,2026-06-05,2026-06-25,0
9315,1484,Machine Learning,2025-12-17,2025-12-22,0
9316,1492,Cyber Security,2025-10-21,2025-11-01,0
9317,1200,Machine Learning,2025-10-29,2025-11-19,0
9318,1116,Database Management Systems,2025-10-20,2025-11-16,50
9319,1290,Financial Accounting,2026-03-18,2026-04-01,0
9320,1423,Thermodynamics,2025-11-07,2025-11-21,0
9321,1237,Marketing Management,2025-11-10,2025-11-24,0
9322,1286,Operating Systems,2025-09-20,2025-10-08,20
9323,1007,Marketing Management,2025-10-28,2025-11-24,20
9324,1171,Software Engineering,2025-08-17,2025-09-12,0
9325,1384,Marketing Management,2025-08-19,2025-09-17,10
9326,1157,Financial Accounting,2026-03-07,2026-03-30,0
9327,1041,Artificial Intelligence,2026-04-18,2026-05-01,10
9328,1172,Cyber Security,2026-04-22,2026-05-11,0
9329,1288,Fluid Mechanics,2026-05-15,2026-05-29,50
9330,1025,Database Management Systems,2026-05-12,2026-05-19,0
9331,1036,Artificial Intelligence,2026-02-13,2026-03-11,100
9332,1372,Microprocessors,2026-06-22,2026-07-02,10
9333,1145,Thermodynamics,2025-12-08,2025-12-26,20
9334,1349,Python Programming,2025-09-07,2025-10-03,0
9335,1419,Microprocessors,2025-09-19,2025-10-01,10
9336,1391,Cyber Security,2025-11-26,2025-12-22,0
9337,1081,Engineering Mathematics,2026-03-24,2026-04-23,0
9338,1396,Structural Analysis,2026-02-18,2026-03-13,0
9339,1135,Cyber Security,2025-07-15,2025-08-08,0
9340,1321,Machine Learning,2025-09-27,2025-10-08,0
9341,1318,Software Engineering,2026-03-13,2026-03-22,10
9342,1342,Software Engineering,2026-04-05,2026-05-03,20
9343,1268,Microprocessors,2026-05-02,2026-05-10,10
9344,1116,Digital Electronics,2025-12-09,2025-12-30,0
9345,1300,Digital Electronics,2025-12-21,2026-01-18,0
9346,1455,Business Analytics,2025-08-13,2025-08-21,0
9347,1420,Thermodynamics,2026-04-01,2026-04-29,0
9348,1272,Digital Electronics,2026-01-20,2026-02-15,0
9349,1058,Data Structures,2026-03-31,2026-04-29,100
9350,1467,Financial Accounting,2025-07-21,2025-07-28,10
9351,1218,Thermodynamics,2026-03-20,2026-04-14,0
9352,1261,Financial Accounting,2025-10-14,2025-11-13,0
9353,1182,Digital Electronics,2026-05-05,2026-05-18,0
9354,1114,Cyber Security,2026-05-20,2026-06-06,20
9355,1326,Cloud Computing,2026-02-02,2026-02-11,0
9356,1095,Microprocessors,2025-07-16,2025-07-24,0
9357,1385,Structural Analysis,2025-10-08,2025-10-22,0
9358,1176,Operating Systems,2025-09-21,2025-10-14,0
9359,1316,Structural Analysis,2025-09-22,2025-10-08,0
9360,1019,Microprocessors,2025-08-30,2025-09-14,0
9361,1156,Financial Accounting,2026-01-30,2026-03-01,0
9362,1395,Artificial Intelligence,2025-08-21,2025-08-26,0
9363,1174,Operating Systems,2025-10-06,2025-10-19,0
9364,1248,Electrical Machines,2026-06-16,2026-06-25,0
9365,1045,Microprocessors,2026-03-29,2026-04-21,10
9366,1101,Business Analytics,2025-11-07,2025-11-19,0
9367,1370,Marketing Management,2026-05-23,2026-05-29,0
9368,1445,Machine Learning,2026-03-21,2026-04-19,0
9369,1451,Database Management Systems,2026-07-05,2026-07-11,10
9370,1118,Microprocessors,2025-12-12,2026-01-07,0
9371,1112,Electrical Machines,2026-03-02,2026-03-07,10
9372,1142,Cyber Security,2025-07-30,2025-08-06,0
9373,1447,Thermodynamics,2025-10-27,2025-11-05,50
9374,1473,Computer Networks,2025-11-22,2025-12-16,20
9375,1383,Cloud Computing,2026-03-21,2026-04-11,0
9376,1360,Digital Electronics,2026-06-08,2026-06-19,10
9377,1088,Marketing Management,2026-04-18,2026-04-30,100
9378,1169,Computer Networks,2025-12-14,2026-01-09,20
9379,1312,Marketing Management,2026-02-16,2026-03-05,0
9380,1100,Business Analytics,2025-09-14,2025-09-23,0
9381,1090,Electrical Machines,2025-11-12,2025-11-30,0
9382,1335,Business Analytics,2025-12-17,2025-12-29,50
9383,1005,Computer Networks,2026-05-08,2026-05-28,0
9384,1385,Engineering Mathematics,2025-09-14,2025-10-11,50
9385,1250,Structural Analysis,2025-07-26,2025-08-10,0
9386,1007,Cyber Security,2025-11-18,2025-12-18,0
9387,1361,Database Management Systems,2025-08-30,2025-09-25,0
9388,1314,Database Management Systems,2025-12-01,2025-12-14,0
9389,1497,Data Structures,2026-06-06,2026-06-11,100
9390,1441,Cyber Security,2026-01-08,2026-01-29,0
9391,1346,Cloud Computing,2025-10-19,2025-11-06,0
9392,1071,Python Programming,2025-11-19,2025-12-07,10
9393,1313,Electrical Machines,2026-04-19,2026-04-25,0
9394,1233,Computer Networks,2025-07-21,2025-08-15,20
9395,1238,Artificial Intelligence,2026-03-20,2026-04-07,0
9396,1438,Database Management Systems,2025-08-26,2025-08-31,0
9397,1297,Engineering Mathematics,2026-07-01,2026-07-27,50
9398,1461,Artificial Intelligence,2026-03-26,2026-04-06,0
9399,1159,Engineering Mathematics,2025-09-06,2025-09-29,0
9400,1286,Structural Analysis,2025-09-12,2025-09-30,0
9401,1412,Electrical Machines,2026-05-11,2026-05-25,0
9402,1364,Software Engineering,2026-04-15,2026-04-25,20
9403,1203,Thermodynamics,2026-02-03,2026-02-20,0
9404,1414,Cloud Computing,2025-11-21,2025-12-02,0
9405,1101,Cloud Computing,2025-07-24,2025-08-07,0
9406,1162,Thermodynamics,2026-05-24,2026-06-03,20
9407,1011,Business Analytics,2026-02-28,2026-03-12,0
9408,1207,Cloud Computing,2026-04-18,2026-04-28,20
9409,1094,Structural Analysis,2026-01-05,2026-01-27,0
9410,1414,Financial Accounting,2026-04-06,2026-05-04,0
9411,1387,Thermodynamics,2026-01-25,2026-02-15,100
9412,1092,Software Engineering,2025-10-11,2025-10-30,0
9413,1375,Data Structures,2025-07-10,2025-07-16,0
9414,1473,Microprocessors,2026-01-13,2026-01-20,0
9415,1133,Operating Systems,2025-07-24,2025-07-30,0
9416,1264,Electrical Machines,2026-05-06,2026-05-22,10
9417,1228,Data Structures,2025-10-21,2025-11-19,50
9418,1018,Operating Systems,2026-05-21,2026-06-09,0
9419,1151,Artificial Intelligence,2025-10-16,2025-11-09,0
9420,1403,Electrical Machines,2026-04-01,2026-04-20,0
9421,1209,Computer Networks,2026-02-04,2026-02-28,50
9422,1168,Financial Accounting,2026-03-01,2026-03-10,0
9423,1179,Digital Electronics,2025-11-05,2025-12-01,10
9424,1305,Engineering Mathematics,2025-08-16,2025-09-09,50
9425,1346,Computer Networks,2026-07-02,2026-07-22,0
9426,1263,Cloud Computing,2025-08-23,2025-09-01,10
9427,1023,Cloud Computing,2025-12-04,2025-12-25,0
9428,1097,Database Management Systems,2025-09-11,2025-09-24,0
9429,1305,Thermodynamics,2025-10-09,2025-10-16,0
9430,1269,Digital Electronics,2025-08-12,2025-08-21,10
9431,1438,Artificial Intelligence,2026-01-22,2026-02-06,0
9432,1003,Marketing Management,2026-04-23,2026-05-03,0
9433,1114,Engineering Mathematics,2025-12-15,2025-12-22,10
9434,1145,Fluid Mechanics,2026-01-22,2026-02-11,0
9435,1168,Electrical Machines,2026-01-04,2026-01-30,0
9436,1294,Electrical Machines,2026-01-15,2026-02-05,0
9437,1191,Cyber Security,2026-03-01,2026-03-20,0
9438,1112,Electrical Machines,2026-06-02,2026-06-15,10
9439,1436,Artificial Intelligence,2025-11-10,2025-12-09,0
9440,1375,Software Engineering,2026-04-01,2026-04-14,0
9441,1398,Fluid Mechanics,2025-12-23,2026-01-22,20
9442,1251,Marketing Management,2026-05-23,2026-06-14,0
9443,1044,Business Analytics,2026-05-08,2026-06-06,0
9444,1094,Operating Systems,2025-09-04,2025-09-18,0
9445,1209,Engineering Mathematics,2026-02-15,2026-02-21,0
9446,1449,Electrical Machines,2026-05-19,2026-05-27,0
9447,1329,Engineering Mathematics,2026-05-28,2026-06-02,0
9448,1428,Microprocessors,2025-12-21,2026-01-13,0
9449,1027,Electrical Machines,2025-12-04,2025-12-18,0
9450,1287,Structural Analysis,2026-02-26,2026-03-15,0
9451,1236,Cyber Security,2026-02-16,2026-03-06,0
9452,1292,Thermodynamics,2026-03-09,2026-04-03,0
9453,1225,Database Management Systems,2025-09-21,2025-09-27,0
9454,1120,Digital Electronics,2025-08-09,2025-08-30,0
9455,1268,Database Management Systems,2025-07-23,2025-08-18,0
9456,1238,Thermodynamics,2025-07-09,2025-08-06,0
9457,1401,Data Structures,2025-10-16,2025-11-10,100
9458,1111,Marketing Management,2026-04-07,2026-04-18,0
9459,1449,Database Management Systems,2025-10-25,2025-11-11,0
9460,1185,Fluid Mechanics,2025-11-16,2025-12-11,0
9461,1341,Business Analytics,2025-10-11,2025-10-26,0
9462,1420,Thermodynamics,2025-10-23,2025-11-06,10
9463,1103,Electrical Machines,2025-11-13,2025-11-19,0
9464,1365,Marketing Management,2026-05-27,2026-06-26,0
9465,1116,Python Programming,2026-05-14,2026-05-30,0
9466,1356,Marketing Management,2025-11-23,2025-11-30,0
9467,1023,Computer Networks,2025-10-04,2025-10-16,0
9468,1087,Financial Accounting,2026-03-01,2026-03-21,0
